date,Monitor ID,NO2 (ppb),NO2 (Plume AQI),VOC (ppb),VOC (Plume AQI),pm 1 (ug/m3),pm 1 (Plume AQI),pm 10 (ug/m3),pm 10 (Plume AQI),pm25 (ug/m3),pm 25 (Plume AQI),latitude,longitude
2022-01-01 20:00:00,13460,51,17,181,14,7,18,35,41,11,26,42.595421,-84.186411
2022-01-01 21:00:00,13060,53,20,183,13,7,22,35,49,9,28,42.063797,-84.237674
2022-01-01 22:00:00,13910,50,7,175,14,6,23,39,39,14,18,42.01411,-84.693718
2022-01-01 23:00:00,13590,52,10,179,13,3,24,32,36,8,22,42.705756,-84.769157
2022-01-02 00:00:00,13460,51,3,181,14,4,19,37,29,19,25,42.500776,-84.612083
2022-01-02 01:00:00,13500,46,17,179,13,6,14,33,46,15,21,42.273851,-84.839701
2022-01-02 02:00:00,13500,51,8,191,12,8,21,41,49,11,34,42.336507,-84.250267
2022-01-02 03:00:00,13760,53,4,181,12,8,11,41,39,9,17,41.968191,-84.065011
2022-01-02 04:00:00,13880,55,4,189,12,8,21,28,40,13,34,42.557093,-84.584986
2022-01-02 05:00:00,13690,56,17,177,16,4,24,40,44,6,23,42.414059,-84.606759
2022-01-02 06:00:00,13220,58,8,172,14,8,21,34,41,12,26,42.488981,-84.663485
2022-01-02 07:00:00,13240,47,7,182,13,5,19,32,42,5,26,42.609397,-84.04201
2022-01-02 08:00:00,13700,53,12,183,13,5,11,50,45,18,28,41.843061,-84.532163
2022-01-02 09:00:00,13170,49,12,186,14,6,10,37,41,9,30,42.787951,-84.454369
2022-01-02 10:00:00,13540,50,16,188,13,7,15,30,39,12,18,42.115679,-84.736584
2022-01-02 12:00:00,13720,53,20,174,14,6,13,37,39,18,38,42.223176,-83.983169
2022-01-02 13:00:00,13600,50,16,180,15,6,14,53,41,26,36,42.53881,-84.609031
2022-01-02 14:00:00,13060,53,20,181,12,5,15,32,38,21,22,42.435706,-84.466478
2022-01-02 15:00:00,13140,55,7,179,13,6,13,36,35,15,30,41.86842,-84.55495
2022-01-02 16:00:00,13920,52,17,172,14,8,20,30,47,13,29,41.962462,-84.015447
2022-01-02 17:00:00,13310,49,17,186,12,11,4,39,41,12,20,42.44766,-83.937359
2022-01-02 18:00:00,13330,52,9,175,14,6,24,44,42,13,23,42.725644,-84.265966
2022-01-02 19:00:00,13760,49,17,177,14,8,23,48,41,14,34,42.636789,-83.763056
2022-01-02 20:00:00,13090,51,15,181,13,6,24,25,41,18,25,42.125797,-84.268847
2022-01-02 21:00:00,13810,55,7,176,14,5,12,33,38,17,27,42.003194,-84.394228
2022-01-02 22:00:00,13480,53,10,182,14,6,4,32,40,24,17,42.161019,-83.962395
2022-01-02 23:00:00,13090,56,13,178,14,7,19,39,44,10,24,42.575258,-84.186457
2022-01-03 00:00:00,13060,56,8,177,15,8,25,26,39,23,36,42.775118,-83.80701
2022-01-03 01:00:00,13610,58,7,177,13,7,19,45,41,13,22,42.139032,-83.907544
2022-01-03 02:00:00,13310,51,9,170,13,9,16,32,38,7,25,41.847355,-84.800835
2022-01-03 03:00:00,13980,51,13,180,14,10,13,29,44,14,27,42.333868,-84.000547
2022-01-03 04:00:00,13210,55,9,184,12,7,21,45,40,5,33,42.241747,-83.707334
2022-01-03 05:00:00,13070,54,0,180,14,5,23,37,42,17,23,42.659274,-84.137782
2022-01-03 06:00:00,13800,53,15,189,14,2,14,36,46,8,25,42.420247,-84.71385
2022-01-03 07:00:00,13100,53,12,174,13,5,14,41,37,20,22,42.395114,-84.756288
2022-01-03 08:00:00,13250,51,14,174,15,8,13,49,42,22,15,42.063091,-84.362292
2022-01-03 09:00:00,13370,58,10,178,14,5,21,38,44,17,23,42.110298,-84.454577
2022-01-03 10:00:00,13590,51,10,177,15,9,19,43,42,3,18,42.549356,-84.788743
2022-01-03 11:00:00,13790,49,20,182,14,5,23,38,45,8,19,41.902985,-83.674152
2022-01-03 12:00:00,13680,51,22,172,12,6,10,44,36,24,22,42.442407,-84.473925
2022-01-03 13:00:00,13220,53,31,186,13,6,9,35,41,14,30,42.534844,-84.256355
2022-01-03 14:00:00,13230,53,16,188,16,9,15,39,42,14,22,42.373331,-84.607304
2022-01-03 16:00:00,13470,53,26,183,13,7,9,38,41,16,25,42.186082,-83.871656
2022-01-03 17:00:00,13180,50,15,181,13,3,16,32,36,14,22,42.305213,-84.381248
2022-01-03 18:00:00,13430,56,4,178,13,6,16,36,42,15,24,42.699732,-84.093824
2022-01-03 19:00:00,14000,48,16,183,13,2,17,45,41,12,26,42.528627,-83.641781
2022-01-03 20:00:00,13770,48,16,172,13,6,14,33,42,13,21,42.531017,-84.158477
2022-01-03 21:00:00,13660,51,7,174,13,7,22,39,41,10,16,42.691645,-84.409721
2022-01-03 22:00:00,13410,53,11,176,13,6,22,35,32,20,25,41.827318,-84.088319
2022-01-03 23:00:00,13770,52,10,176,12,4,20,46,42,26,24,42.490694,-84.206067
2022-01-04 00:00:00,13810,51,15,176,15,4,19,41,32,7,31,42.043251,-84.12687
2022-01-04 01:00:00,13200,50,20,185,12,3,16,47,37,14,30,42.768575,-83.913274
2022-01-04 02:00:00,13760,54,8,178,14,6,21,41,37,3,26,42.717395,-84.455089
2022-01-04 03:00:00,13430,53,8,169,13,9,15,40,41,11,22,42.357577,-83.790877
2022-01-04 04:00:00,13710,59,9,185,14,6,8,28,43,7,26,41.858511,-84.183372
2022-01-04 05:00:00,13090,49,8,172,14,6,7,36,36,10,34,42.027925,-84.326398
2022-01-04 06:00:00,13370,53,6,187,14,6,15,32,34,6,35,41.859456,-84.336874
2022-01-04 07:00:00,13700,54,19,180,14,4,22,44,38,10,24,42.513924,-84.278579
2022-01-04 08:00:00,13140,51,9,173,13,8,9,41,38,5,26,41.917237,-84.047288
2022-01-04 09:00:00,13720,51,11,175,12,5,16,30,38,11,27,42.61462,-84.745851
2022-01-04 10:00:00,13530,54,20,179,13,4,18,41,42,15,19,42.631617,-84.621885
2022-01-04 11:00:00,13130,51,18,174,13,7,24,34,42,7,33,42.407231,-83.863229
2022-01-04 12:00:00,13020,52,1,179,13,2,14,40,38,7,24,42.496273,-84.392054
2022-01-04 13:00:00,13020,47,25,177,14,5,21,36,48,19,22,42.521085,-84.589186
2022-01-04 14:00:00,13580,55,9,179,13,4,23,46,46,13,21,42.576226,-83.663106
2022-01-04 15:00:00,13750,47,13,183,14,7,13,39,35,14,27,42.711804,-83.67467
2022-01-04 16:00:00,13430,51,16,180,13,8,24,46,44,26,33,42.2365,-84.018744
2022-01-04 17:00:00,13090,56,22,174,13,6,24,33,44,24,28,42.00625,-84.178299
2022-01-04 18:00:00,13190,52,21,176,12,8,19,32,32,9,19,42.487896,-84.502418
2022-01-04 19:00:00,13970,48,8,184,14,9,6,34,39,5,34,42.158526,-84.277656
2022-01-04 20:00:00,13610,50,21,176,15,2,3,26,43,10,24,41.943275,-84.316706
2022-01-04 21:00:00,13100,56,13,180,11,8,23,39,36,17,26,41.839557,-84.343428
2022-01-04 22:00:00,13700,51,15,172,13,6,23,28,42,7,30,42.424897,-83.733927
2022-01-04 23:00:00,13100,59,7,187,14,4,19,30,46,21,25,42.218926,-83.790368
2022-01-05 00:00:00,13880,54,14,180,13,6,12,38,39,8,30,42.134284,-83.914895
2022-01-05 01:00:00,13750,49,21,178,14,6,12,33,38,18,14,42.793596,-84.69847
2022-01-05 02:00:00,13300,49,17,175,14,5,13,39,39,11,25,42.489435,-84.818143
2022-01-05 03:00:00,13700,52,10,180,13,8,16,43,45,18,26,42.031773,-84.714949
2022-01-05 05:00:00,13720,47,23,175,14,9,20,35,41,15,10,42.353414,-84.302369
2022-01-05 06:00:00,13850,51,6,180,12,6,20,56,41,5,24,41.922389,-83.724631
2022-01-05 07:00:00,13160,52,12,177,14,9,14,28,45,16,20,42.551641,-84.354974
2022-01-05 08:00:00,13560,53,7,186,12,6,8,33,41,6,31,41.87538,-84.049846
2022-01-05 09:00:00,13830,56,12,180,13,4,21,42,42,2,27,42.492561,-84.217364
2022-01-05 10:00:00,13520,54,28,172,15,9,25,30,39,11,21,42.522966,-83.875216
2022-01-05 11:00:00,13830,56,21,185,13,9,12,42,35,5,27,42.204074,-84.112911
2022-01-05 12:00:00,13980,54,16,175,12,6,12,25,33,19,23,42.786442,-84.067086
2022-01-05 13:00:00,13610,56,8,177,13,4,20,50,39,12,27,42.722701,-83.961733
2022-01-05 14:00:00,13250,57,8,178,15,8,20,44,40,12,38,42.153297,-84.495731
2022-01-05 15:00:00,13830,54,18,179,14,8,10,33,33,18,31,42.592145,-83.715996
2022-01-05 16:00:00,13760,56,10,172,13,6,14,32,39,20,16,42.720918,-84.206841
2022-01-05 17:00:00,13630,50,8,181,16,9,13,33,46,23,25,41.981389,-84.588151
2022-01-05 18:00:00,13410,51,2,180,14,11,13,27,45,4,29,42.129945,-83.852172
2022-01-05 19:00:00,13290,53,1,185,13,3,24,36,40,12,16,42.481151,-84.408031
2022-01-05 20:00:00,13920,51,17,178,14,7,22,38,46,7,13,41.895871,-83.838788
2022-01-05 22:00:00,13210,52,21,181,13,4,21,34,41,7,21,42.017999,-84.133399
2022-01-05 23:00:00,13530,54,10,175,13,3,4,33,36,25,23,42.703818,-83.772683
2022-01-06 00:00:00,13490,54,11,179,12,11,16,24,43,15,25,42.673062,-84.027222
2022-01-06 01:00:00,13550,51,8,181,13,5,21,37,43,7,24,41.939384,-83.82246
2022-01-06 02:00:00,13780,55,23,176,14,8,15,38,44,4,27,42.342688,-84.804086
2022-01-06 03:00:00,13260,52,21,183,12,8,23,36,42,15,25,42.509921,-83.740891
2022-01-06 04:00:00,13340,55,10,185,16,4,18,28,32,16,26,41.909779,-84.509516
2022-01-06 05:00:00,13460,49,21,175,14,11,7,41,45,15,31,42.040891,-83.830455
2022-01-06 06:00:00,13600,56,10,171,14,5,23,39,39,18,34,42.199075,-84.435562
2022-01-06 07:00:00,13390,54,15,192,14,5,14,36,46,9,29,41.83637,-83.808369
2022-01-06 08:00:00,13370,59,20,183,13,8,22,45,43,20,31,41.874786,-84.261104
2022-01-06 09:00:00,13230,51,5,185,15,7,26,35,42,16,22,42.309858,-84.233334
2022-01-06 10:00:00,13390,52,9,179,14,6,15,34,35,17,19,42.091194,-84.476492
2022-01-06 11:00:00,13250,56,19,188,10,5,20,38,43,26,22,41.90739,-84.200389
2022-01-06 12:00:00,13450,53,22,185,14,5,18,33,41,16,22,41.992993,-83.642355
2022-01-06 13:00:00,13070,50,9,181,13,5,18,35,41,16,25,42.421262,-84.534124
2022-01-06 14:00:00,13560,55,10,176,15,7,4,29,47,9,25,42.753458,-83.828704
2022-01-06 15:00:00,13870,53,9,190,13,2,16,39,35,19,36,42.514265,-84.604586
2022-01-06 16:00:00,13170,51,4,181,14,9,29,35,43,16,10,42.626638,-84.227799
2022-01-06 17:00:00,13160,54,18,176,14,8,11,42,36,25,24,42.111051,-84.525617
2022-01-06 18:00:00,13450,52,22,176,13,2,17,40,31,9,26,41.909251,-83.853354
2022-01-06 19:00:00,13690,54,5,175,14,3,22,35,37,13,23,41.982392,-84.564098
2022-01-06 20:00:00,13610,48,6,171,14,9,19,25,37,17,31,42.074905,-83.935967
2022-01-06 21:00:00,13050,54,0,177,11,9,2,33,40,15,22,41.977325,-84.517751
2022-01-06 22:00:00,13270,54,9,174,14,9,13,44,46,13,27,42.71861,-84.386773
2022-01-06 23:00:00,13620,52,18,176,12,6,17,43,42,19,24,42.169617,-84.571385
2022-01-07 00:00:00,13980,55,15,178,12,4,21,39,38,14,30,42.753919,-83.957632
2022-01-07 01:00:00,13610,57,4,184,15,9,12,38,45,10,24,42.436264,-84.031904
2022-01-07 02:00:00,13700,53,16,177,14,7,14,46,39,8,24,42.156588,-83.736145
2022-01-07 03:00:00,13780,58,20,176,14,4,12,27,37,15,24,42.271316,-84.243745
2022-01-07 04:00:00,13170,54,4,175,14,4,20,35,44,20,29,41.918296,-84.065823
2022-01-07 06:00:00,13930,54,14,178,14,9,13,38,39,22,33,42.209588,-84.578922
2022-01-07 07:00:00,13860,51,7,178,14,6,13,43,35,7,34,42.330064,-83.650069
2022-01-07 08:00:00,13870,51,11,178,12,4,15,45,42,3,28,42.095135,-84.724332
2022-01-07 09:00:00,13590,59,13,185,13,5,19,40,46,10,28,42.737095,-83.701647
2022-01-07 10:00:00,13920,49,17,184,14,6,16,49,37,15,28,41.949656,-84.625666
2022-01-07 11:00:00,13240,50,10,179,12,7,11,35,42,5,28,41.871504,-84.091963
2022-01-07 12:00:00,13380,56,10,178,14,5,10,35,37,15,24,42.392677,-84.597875
2022-01-07 13:00:00,14000,55,13,175,14,5,30,38,36,16,17,41.969077,-84.676909
2022-01-07 15:00:00,13580,59,14,181,15,8,18,36,47,9,35,42.738204,-84.590895
2022-01-07 16:00:00,13040,53,2,175,13,2,17,32,39,7,19,42.39347,-84.728534
2022-01-07 17:00:00,13790,52,19,172,14,6,19,40,38,7,31,41.826816,-84.162206
2022-01-07 18:00:00,13000,54,17,187,14,7,18,35,42,21,33,42.414799,-84.180282
2022-01-07 19:00:00,13890,51,12,190,13,5,20,30,36,23,29,42.709479,-84.802504
2022-01-07 20:00:00,13790,55,12,179,16,5,16,33,34,14,35,41.919151,-84.105069
2022-01-07 21:00:00,13410,56,16,182,13,2,11,30,49,11,16,41.830281,-84.798132
2022-01-07 22:00:00,13950,49,13,188,13,2,19,39,33,20,32,42.709927,-84.023793
2022-01-07 23:00:00,13570,55,12,179,13,8,14,54,41,7,17,41.958039,-84.254982
2022-01-08 00:00:00,13660,53,8,181,12,5,12,42,42,16,22,41.842483,-84.795437
2022-01-08 01:00:00,13090,51,10,176,16,9,12,39,39,9,31,42.279578,-83.703364
2022-01-08 02:00:00,13570,58,1,189,13,7,15,35,46,6,32,42.622541,-84.192479
2022-01-08 03:00:00,13010,53,8,180,14,8,16,31,38,14,21,41.98632,-84.445734
2022-01-08 04:00:00,14000,50,14,176,12,6,20,34,36,21,37,42.646031,-83.680167
2022-01-08 06:00:00,13530,53,9,186,13,10,11,35,45,11,31,42.429554,-84.389398
2022-01-08 07:00:00,13090,54,10,184,13,9,17,41,42,8,34,42.211938,-84.609288
2022-01-08 08:00:00,13390,55,11,175,13,8,20,30,44,10,20,42.663397,-84.502654
2022-01-08 09:00:00,13430,51,18,189,13,10,12,35,39,6,24,42.650065,-84.510143
2022-01-08 10:00:00,13470,51,3,178,13,4,21,31,40,15,26,41.93403,-84.079498
2022-01-08 11:00:00,13150,49,2,171,13,5,13,25,44,24,28,42.642295,-84.597322
2022-01-08 12:00:00,13120,50,22,175,14,2,15,42,39,20,17,42.637724,-84.743238
2022-01-08 13:00:00,13030,49,1,183,13,8,14,40,38,9,29,42.229019,-83.67897
2022-01-08 14:00:00,13460,53,4,178,14,7,18,43,46,14,24,42.214056,-84.226846
2022-01-08 15:00:00,13410,52,9,176,13,6,26,41,38,11,14,42.775619,-84.455372
2022-01-08 16:00:00,13000,53,17,183,13,6,14,29,39,21,33,41.99626,-84.405404
2022-01-08 17:00:00,13340,54,22,179,12,6,10,39,33,9,24,41.935031,-84.023018
2022-01-08 18:00:00,13050,52,15,179,14,6,11,39,41,5,30,42.68785,-84.626688
2022-01-08 19:00:00,13700,50,18,186,12,8,10,42,46,16,23,41.980188,-84.402485
2022-01-08 20:00:00,13700,51,16,185,13,3,22,42,36,11,36,41.817986,-83.835407
2022-01-08 21:00:00,13670,49,3,180,12,5,19,28,40,17,26,41.835082,-84.645415
2022-01-08 22:00:00,13870,55,4,183,13,3,24,37,33,9,34,42.040335,-83.901976
2022-01-08 23:00:00,13420,46,16,171,15,10,15,33,33,22,18,42.535943,-84.550928
2022-01-09 00:00:00,13380,53,7,175,12,6,17,28,45,5,17,42.301684,-84.436096
2022-01-09 01:00:00,13260,52,9,180,14,5,21,32,39,6,21,42.748582,-84.408739
2022-01-09 02:00:00,13480,47,9,178,14,5,15,40,51,10,21,42.32589,-84.067789
2022-01-09 03:00:00,13260,57,17,178,13,4,18,40,44,16,26,41.919389,-84.813072
2022-01-09 04:00:00,13660,54,5,176,14,7,16,35,41,24,23,42.123291,-84.01189
2022-01-09 05:00:00,13440,53,8,176,14,5,16,34,40,10,18,41.869741,-84.390454
2022-01-09 06:00:00,13230,58,10,174,14,6,15,48,38,8,21,42.79556,-84.049567
2022-01-09 07:00:00,13620,59,6,194,14,4,14,33,46,7,32,41.987963,-84.405147
2022-01-09 08:00:00,13260,49,17,176,13,6,15,39,42,11,27,42.682187,-83.781933
2022-01-09 09:00:00,13430,50,16,176,15,7,22,27,35,13,23,42.69161,-83.952972
2022-01-09 10:00:00,13140,50,9,182,14,5,16,32,42,17,18,42.300009,-83.916591
2022-01-09 11:00:00,13490,54,6,179,15,6,16,25,45,15,33,42.442893,-84.66495
2022-01-09 12:00:00,13760,54,21,187,12,7,13,38,43,22,20,42.306103,-84.000167
2022-01-09 13:00:00,13210,57,10,182,14,12,18,36,45,14,30,42.740215,-84.098861
2022-01-09 14:00:00,13680,44,20,180,13,6,19,46,39,12,27,42.495105,-84.320249
2022-01-09 15:00:00,13920,47,5,180,14,7,5,43,40,27,23,42.520561,-83.732574
2022-01-09 16:00:00,13850,55,15,186,13,4,21,27,43,16,21,42.301866,-84.379825
2022-01-09 17:00:00,13590,50,15,184,13,3,15,37,46,16,12,42.399957,-84.33909
2022-01-09 18:00:00,13410,54,10,173,14,3,10,38,39,2,33,42.387054,-84.132889
2022-01-09 19:00:00,13220,55,23,182,12,4,20,28,32,10,27,42.240715,-84.314225
2022-01-09 20:00:00,13160,51,19,183,13,5,4,40,38,13,31,41.984891,-83.832312
2022-01-09 21:00:00,13810,49,17,185,14,4,11,37,37,22,23,42.63137,-83.681857
2022-01-09 22:00:00,13890,49,11,182,12,8,18,43,37,14,31,42.212842,-84.706522
2022-01-09 23:00:00,13460,55,15,183,15,7,25,35,32,20,9,42.332017,-83.817678
2022-01-10 00:00:00,13500,55,4,178,15,4,18,30,34,9,25,41.966318,-84.137077
2022-01-10 01:00:00,13730,52,8,185,13,7,17,34,45,6,24,41.901912,-84.625064
2022-01-10 02:00:00,13960,51,28,181,12,5,18,29,37,16,29,42.227212,-84.246351
2022-01-10 03:00:00,13910,53,9,175,16,9,15,27,32,14,29,42.665238,-83.950735
2022-01-10 04:00:00,13610,50,20,180,13,5,9,30,41,11,31,42.618879,-83.809095
2022-01-10 05:00:00,13520,56,18,183,15,5,26,33,43,18,29,41.888613,-83.851817
2022-01-10 06:00:00,13650,50,15,183,13,8,22,33,45,9,24,42.429,-84.620087
2022-01-10 07:00:00,13380,54,19,174,14,4,24,36,38,10,39,42.741769,-84.181818
2022-01-10 08:00:00,13020,52,17,190,11,6,22,34,43,23,30,42.429857,-84.498666
2022-01-10 09:00:00,13300,52,6,183,14,6,26,34,38,17,33,42.29912,-84.078967
2022-01-10 10:00:00,13300,56,14,175,13,5,19,40,35,14,25,42.526297,-83.74588
2022-01-10 11:00:00,13500,52,30,181,14,7,18,41,47,14,23,42.128039,-84.304457
2022-01-10 12:00:00,13900,57,7,183,13,5,17,38,41,17,31,42.479435,-84.661211
2022-01-10 13:00:00,13120,54,30,177,15,4,15,49,41,8,28,42.379788,-84.792257
2022-01-10 14:00:00,13290,52,19,177,13,6,14,44,31,22,15,41.940455,-84.396897
2022-01-10 15:00:00,13770,47,10,176,14,5,16,38,40,13,25,42.678372,-84.046876
2022-01-10 16:00:00,13000,54,15,184,13,7,16,40,45,24,22,42.269488,-84.331332
2022-01-10 17:00:00,13300,58,16,190,15,7,13,45,41,13,29,42.409831,-83.978646
2022-01-10 18:00:00,13220,61,4,181,14,6,22,40,40,24,20,42.425266,-84.437261
2022-01-10 19:00:00,13460,51,15,176,12,8,13,31,45,17,19,42.63354,-84.705545
2022-01-10 20:00:00,13890,56,25,178,12,4,21,37,40,11,37,42.376464,-83.986041
2022-01-10 21:00:00,13870,49,7,173,14,8,23,39,41,15,34,42.119135,-84.731759
2022-01-10 22:00:00,13500,55,16,183,13,6,27,30,42,6,29,41.998198,-84.559281
2022-01-10 23:00:00,13380,47,4,186,14,8,19,52,40,21,20,42.445681,-84.362067
2022-01-11 00:00:00,13810,51,5,181,12,9,18,30,37,11,28,42.022367,-84.159017
2022-01-11 01:00:00,13960,56,0,181,12,3,15,44,44,11,33,42.276617,-84.522114
2022-01-11 02:00:00,13210,48,18,191,13,6,17,35,28,18,19,42.372131,-84.112988
2022-01-11 03:00:00,13540,54,4,175,13,4,9,43,45,14,24,42.061006,-84.225047
2022-01-11 04:00:00,13760,57,13,184,15,4,11,37,42,7,22,42.377996,-83.936648
2022-01-11 05:00:00,13880,49,12,189,15,8,13,38,51,12,19,42.487669,-83.870278
2022-01-11 06:00:00,13710,51,22,182,13,7,31,34,48,12,22,42.746225,-83.917973
2022-01-11 07:00:00,13000,50,11,176,16,5,21,26,41,21,25,41.856538,-84.805382
2022-01-11 08:00:00,13270,52,20,178,14,6,9,29,38,22,14,42.368554,-84.072959
2022-01-11 09:00:00,13990,56,9,174,14,7,22,36,44,18,27,42.423485,-84.330463
2022-01-11 10:00:00,13590,51,23,178,12,6,19,41,40,9,26,42.026284,-84.407705
2022-01-11 11:00:00,13630,52,0,178,12,5,29,34,37,12,18,42.67313,-84.261667
2022-01-11 12:00:00,13980,53,18,189,14,4,18,33,45,22,34,42.050641,-83.977847
2022-01-11 13:00:00,13870,56,4,180,13,8,15,40,40,8,13,42.350728,-84.654854
2022-01-11 14:00:00,13420,50,20,181,14,6,14,45,44,11,24,41.817918,-83.719113
2022-01-11 15:00:00,13360,59,12,180,14,5,24,23,44,23,17,42.476026,-83.775249
2022-01-11 16:00:00,13720,54,10,187,14,8,18,42,38,20,31,42.297299,-84.237105
2022-01-11 17:00:00,13300,53,19,176,14,9,14,35,38,13,28,41.869528,-84.555213
2022-01-11 18:00:00,13510,48,7,184,13,1,8,36,37,14,22,42.406097,-84.427139
2022-01-11 19:00:00,13750,51,1,182,15,8,15,42,37,9,22,41.98228,-84.570854
2022-01-11 20:00:00,13220,51,9,177,14,2,17,37,37,6,16,42.585413,-84.027674
2022-01-11 21:00:00,13450,58,13,168,12,7,4,33,39,9,27,42.427039,-83.905115
2022-01-11 22:00:00,13000,50,16,175,13,10,18,41,42,13,29,42.591085,-84.78695
2022-01-11 23:00:00,13650,58,10,183,13,4,18,35,38,15,24,42.71833,-84.499764
2022-01-12 00:00:00,13010,51,8,185,13,6,18,37,36,11,35,41.805394,-84.299957
2022-01-12 01:00:00,13440,47,17,186,13,8,23,36,39,23,19,42.754299,-84.346162
2022-01-12 02:00:00,13850,53,14,185,13,4,23,31,38,22,39,42.411481,-84.467478
2022-01-12 03:00:00,13390,53,18,171,13,5,3,35,42,14,21,42.533509,-84.216599
2022-01-12 04:00:00,13380,54,10,168,13,6,8,49,40,12,37,42.723287,-84.658125
2022-01-12 05:00:00,13130,48,11,185,13,5,18,44,34,9,22,42.742274,-84.250021
2022-01-12 06:00:00,13960,47,19,175,16,4,11,22,36,17,30,42.049544,-83.966433
2022-01-12 07:00:00,13660,52,19,187,14,9,17,48,40,14,16,42.172578,-83.641881
2022-01-12 08:00:00,13940,49,15,174,13,7,17,42,41,13,25,42.378585,-84.576053
2022-01-12 10:00:00,13250,53,19,190,14,6,16,40,45,12,22,42.771583,-84.076662
2022-01-12 11:00:00,13810,50,21,179,15,6,21,45,35,20,18,42.352181,-84.190904
2022-01-12 12:00:00,13360,50,10,191,13,8,17,31,44,9,25,42.556866,-84.62236
2022-01-12 13:00:00,13590,50,16,183,15,9,19,53,34,13,25,42.632436,-84.712584
2022-01-12 14:00:00,13880,53,13,179,14,6,7,33,42,15,25,41.88271,-84.573468
2022-01-12 15:00:00,13930,52,14,180,15,7,12,31,42,13,31,41.886916,-83.775416
2022-01-12 16:00:00,13880,48,12,181,15,7,14,33,44,16,26,42.133799,-83.815046
2022-01-12 17:00:00,13890,55,8,182,13,7,9,47,37,12,32,42.456191,-84.105729
2022-01-12 18:00:00,13850,60,13,189,14,7,15,23,45,13,28,42.318745,-84.203232
2022-01-12 19:00:00,13210,56,6,175,13,7,13,42,43,13,33,42.186726,-84.186597
2022-01-12 20:00:00,13170,51,20,187,14,11,6,38,37,21,29,42.12709,-84.533181
2022-01-12 21:00:00,13150,51,11,178,13,7,15,43,35,11,14,42.431485,-83.793655
2022-01-12 22:00:00,13250,54,5,183,13,7,14,34,37,5,34,42.245405,-83.990832
2022-01-12 23:00:00,13480,56,5,183,15,9,20,44,42,7,23,42.369372,-84.771978
2022-01-13 00:00:00,13590,50,20,185,14,5,18,32,44,14,27,41.939673,-83.892583
2022-01-13 03:00:00,13940,58,19,180,13,5,18,38,37,10,25,42.200231,-84.393905
2022-01-13 04:00:00,13040,54,1,183,13,6,16,41,39,2,31,42.190448,-83.811158
2022-01-13 05:00:00,13830,53,22,175,15,7,12,30,47,11,34,41.978522,-83.858812
2022-01-13 06:00:00,13300,50,9,175,14,8,24,43,43,14,30,42.313534,-84.705934
2022-01-13 07:00:00,13840,52,16,175,11,7,12,40,43,12,31,42.020072,-83.904729
2022-01-13 09:00:00,13170,56,14,175,14,9,12,33,37,23,27,42.123711,-83.884275
2022-01-13 11:00:00,13400,52,3,183,14,5,19,42,43,12,22,42.412671,-83.947695
2022-01-13 12:00:00,13230,54,6,188,13,8,26,28,40,23,33,41.815417,-84.346858
2022-01-13 13:00:00,13690,54,19,180,16,6,21,30,39,13,33,42.224664,-84.198365
2022-01-13 14:00:00,13890,51,21,182,11,5,17,48,38,7,20,42.042269,-84.811755
2022-01-13 15:00:00,13170,52,4,173,13,6,21,41,41,13,35,42.748463,-83.977618
2022-01-13 16:00:00,13960,50,12,175,13,6,11,39,47,12,23,41.833691,-84.289358
